"Freq [GHz]","dB(S(1,1)) []"
2,-0.266135983470579
2.01,-0.267710012653088
2.02,-0.269322957110885
2.03,-0.270975205408547
2.04,-0.27266714910918
2.05,-0.274399182867896
2.06,-0.276171704526076
2.07,-0.277985115206277
2.08,-0.27983981940774
2.09,-0.281736225102436
2.1,-0.283674743831563
2.11,-0.285655790802404
2.12,-0.287679784985514
2.13,-0.289747149212084
2.14,-0.291858310271487
2.15,-0.294013699008827
2.16,-0.296213750422498
2.17,-0.298458903761573
2.18,-0.300749602623023
2.19,-0.303086295048592
2.2,-0.305469433621299
2.21,-0.307899475561429
2.22,-0.310376882821925
2.23,-0.312902122183112
2.24,-0.315475665346589
2.25,-0.318097989028252
2.26,-0.320769575050317
2.27,-0.323490910432195
2.28,-0.326262487480195
2.29,-0.329084803875882
2.3,-0.331958362762995
2.31,-0.334883672832795
2.32,-0.337861248407809
2.33,-0.340891609523724
2.34,-0.343975282009407
2.35,-0.347112797564935
2.36,-0.350304693837455
2.37,-0.353551514494794
2.38,-0.356853809296694
2.39,-0.360212134163549
2.4,-0.3636270512425
2.41,-0.367099128970784
2.42,-0.370628942136201
2.43,-0.37421707193457
2.44,-0.377864106024058
2.45,-0.381570638576226
2.46,-0.385337270323686
2.47,-0.389164608604244
2.48,-0.393053267401358
2.49,-0.397003867380824
2.5,-0.401017035923534
2.51,-0.405093407154175
2.52,-0.409233621965739
2.53,-0.413438328039709
2.54,-0.417708179861797
2.55,-0.422043838733072
2.56,-0.426445972776394
2.57,-0.430915256937956
2.58,-0.435452372983855
2.59,-0.440058009491553
2.6,-0.444732861836031
2.61,-0.449477632170626
2.62,-0.454293029402279
2.63,-0.459179769161182
2.64,-0.464138573764613
2.65,-0.469170172174877
2.66,-0.47427529995121
2.67,-0.479454699195504
2.68,-0.484709118491759
2.69,-0.49003931283911
2.7,-0.495446043578328
2.71,-0.50093007831164
2.72,-0.50649219081581
2.73,-0.512133160948294
2.74,-0.517853774546392
2.75,-0.523654823319311
2.76,-0.529537104732934
2.77,-0.535501421887316
2.78,-0.541548583386698
2.79,-0.547679403201972
2.8,-0.553894700525516
2.81,-0.560195299618284
2.82,-0.566582029649042
2.83,-0.573055724525702
2.84,-0.579617222718628
2.85,-0.586267367075866
2.86,-0.593007004630161
2.87,-0.599836986397778
2.88,-0.606758167168985
2.89,-0.613771405290139
2.9,-0.62087756243734
2.91,-0.628077503381598
2.92,-0.635372095745432
2.93,-0.642762209750873
2.94,-0.650248717958828
2.95,-0.657832494999792
2.96,-0.665514417295812
2.97,-0.673295362773769
2.98,-0.681176210569879
2.99,-0.689157840725465
3,-0.697241133873941
3.01,-0.705426970919033
3.02,-0.713716232704276
3.03,-0.722109799673736
3.04,-0.730608551524013
3.05,-0.739213366847601
3.06,-0.747925122767504
3.07,-0.756744694563339
3.08,-0.765672955288814
3.09,-0.774710775380724
3.1,-0.783859022259504
3.11,-0.793118559921462
3.12,-0.802490248522662
3.13,-0.81197494395471
3.14,-0.821573497412398
3.15,-0.831286754953385
3.16,-0.841115557050053
3.17,-0.851060738133592
3.18,-0.861123126130535
3.19,-0.871303541991838
3.2,-0.881602799214649
3.21,-0.892021703356993
3.22,-0.902561051545466
3.23,-0.913221631976233
3.24,-0.924004223409383
3.25,-0.934909594656975
3.26,-0.945938504064922
3.27,-0.957091698988972
3.28,-0.968369915264983
3.29,-0.979773876673779
3.3,-0.991304294400852
3.31,-1.00296186649113
3.32,-1.01474727729911
3.33,-1.02666119693474
3.34,-1.03870428070519
3.35,-1.05087716855296
3.36,-1.06318048449058
3.37,-1.0756148360323
3.38,-1.08818081362308
3.39,-1.10087899006529
3.4,-1.11370991994335
3.41,-1.12667413904702
3.42,-1.13977216379332
3.43,-1.15300449064792
3.44,-1.16637159554607
3.45,-1.17987393331381
3.46,-1.19351193708971
3.47,-1.20728601774778
3.48,-1.22119656332184
3.49,-1.23524393843212
3.5,-1.24942848371438
3.51,-1.26375051525228
3.52,-1.27821032401337
3.53,-1.29280817528946
3.54,-1.30754430814188
3.55,-1.32241893485226
3.56,-1.33743224037944
3.57,-1.35258438182326
3.58,-1.36787548789583
3.59,-1.38330565840105
3.6,-1.39887496372307
3.61,-1.41458344432446
3.62,-1.43043111025495
3.63,-1.44641794067145
3.64,-1.4625438833703
3.65,-1.47880885433257
3.66,-1.49521273728334
3.67,-1.51175538326602
3.68,-1.52843661023249
3.69,-1.54525620265031
3.7,-1.562213911128
3.71,-1.57930945205948
3.72,-1.59654250728889
3.73,-1.61391272379701
3.74,-1.63141971341055
3.75,-1.64906305253568
3.76,-1.66684228191713
3.77,-1.68475690642439
3.78,-1.70280639486653
