Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.519014534037676
2263157894.736842,-5.205632361051133
2526315789.4736843,-5.290162301254673
2789473684.2105265,-5.599724711636521
3052631578.9473686,-5.588736471761344
3315789473.684211,-3.7234777095658123
3578947368.4210525,-4.933471180657262
3842105263.1578946,-4.943932016463859
4105263157.894737,-4.566571611319099
4368421052.631578,-4.854608728338665
4631578947.368422,-5.463407264942881
4894736842.105263,-5.493048429621821
5157894736.842105,-4.787735497075745
5421052631.578947,-5.3363630880195165
5684210526.315789,-4.535766138666473
5947368421.052631,-5.255152387903901
6210526315.789474,-5.45905941105913
6473684210.526316,-5.127918035562844
6736842105.263158,-5.412506513466479
7000000000.0,-5.026234957635899
