Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.744074407779511
2263157894.736842,-17.200252478371926
2526315789.4736843,-19.565213119127055
2789473684.2105265,-19.6347167576722
3052631578.9473686,-19.973015075575294
3315789473.684211,-18.450727849881034
3578947368.4210525,-15.41443508363897
3842105263.1578946,-13.06475032331542
4105263157.894737,-10.409425632418195
4368421052.631578,-8.237426351233202
4631578947.368422,-6.914808144704805
4894736842.105263,-6.311842073142769
5157894736.842105,-6.035675275358388
5421052631.578947,-5.792275006331234
5684210526.315789,-4.99620065332045
5947368421.052631,-4.1860834576617005
6210526315.789474,-5.019491355475525
6473684210.526316,-5.601723182377394
6736842105.263158,-5.088958087401197
7000000000.0,-4.603532745574935
