Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.230086676693156
2263157894.736842,-5.31144006187737
2526315789.4736843,-4.932355025846159
2789473684.2105265,-4.578048703152472
3052631578.9473686,-5.0742493440770415
3315789473.684211,-4.868758109071868
3578947368.4210525,-4.734165980974664
3842105263.1578946,-4.655096350065125
4105263157.894737,-5.445949333515538
4368421052.631578,-4.7655897878379765
4631578947.368422,-5.008893814225073
4894736842.105263,-5.30071484914334
5157894736.842105,-5.338817512187995
5421052631.578947,-5.113607666258093
5684210526.315789,-5.496777702167645
5947368421.052631,-5.729451443439212
6210526315.789474,-4.968121308291332
6473684210.526316,-4.612741087794218
6736842105.263158,-5.12056585423975
7000000000.0,-4.629976551598391
