Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.87788524666412
2263157894.736842,-4.660910839960572
2526315789.4736843,-5.292764690676035
2789473684.2105265,-5.454336561562674
3052631578.9473686,-5.995919105560683
3315789473.684211,-4.5141885090069
3578947368.4210525,-4.991671349713089
3842105263.1578946,-4.898127787595604
4105263157.894737,-14.510123464032386
4368421052.631578,-5.246384643521564
4631578947.368422,-4.52840054358635
4894736842.105263,-5.060911940743845
5157894736.842105,-5.277931728951141
5421052631.578947,-5.17834569202929
5684210526.315789,-5.399312771212324
5947368421.052631,-4.98671792537973
6210526315.789474,-5.3080838598502735
6473684210.526316,-4.707228739728979
6736842105.263158,-5.179734287329372
7000000000.0,-5.176978531969679
