Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.334372543582913
2263157894.736842,-4.951285237918128
2526315789.4736843,-5.949823453455222
2789473684.2105265,-5.970034879458128
3052631578.9473686,-5.705259568850602
3315789473.684211,-5.4002943604917455
3578947368.4210525,-5.367051288498168
3842105263.1578946,-5.228410567376114
4105263157.894737,-5.095425009348115
4368421052.631578,-5.437485905037417
4631578947.368422,-4.9977105840426495
4894736842.105263,-4.703542857380201
5157894736.842105,-4.863904974307526
5421052631.578947,-4.5594288256449005
5684210526.315789,-4.084769901124358
5947368421.052631,-5.314768376332269
6210526315.789474,-4.198761545474532
6473684210.526316,-5.529905126471442
6736842105.263158,-5.031106812439157
7000000000.0,-4.495471978750188
