Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.835330668866645
2263157894.736842,-4.769755231500859
2526315789.4736843,-4.221051644143369
2789473684.2105265,-4.333057638720669
3052631578.9473686,-4.920904492473358
3315789473.684211,-4.817060210262553
3578947368.4210525,-5.592644444881373
3842105263.1578946,-5.197589185953611
4105263157.894737,-4.8399791484719605
4368421052.631578,-4.6079351458097015
4631578947.368422,-5.404827224659067
4894736842.105263,-5.413785996518159
5157894736.842105,-4.7424678859221565
5421052631.578947,-4.632492099814857
5684210526.315789,-5.545988864079047
5947368421.052631,-4.835350224547029
6210526315.789474,-4.327672508928703
6473684210.526316,-4.991622935899594
6736842105.263158,-4.549329837353138
7000000000.0,-4.482220761376155
