Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.262416159904674
2263157894.736842,-5.089827602051055
2526315789.4736843,-5.7182693056265546
2789473684.2105265,-4.683373225982095
3052631578.9473686,-4.3253252886042155
3315789473.684211,-4.38093224002421
3578947368.4210525,-5.500135249928323
3842105263.1578946,-5.002004734383749
4105263157.894737,-5.149971490335636
4368421052.631578,-5.186786185274243
4631578947.368422,-4.8707871161314715
4894736842.105263,-5.470133380776183
5157894736.842105,-5.655160949272595
5421052631.578947,-5.351859221950322
5684210526.315789,-5.4807702250241395
5947368421.052631,-4.615089679772662
6210526315.789474,-5.029747268955891
6473684210.526316,-4.577222705426218
6736842105.263158,-4.758285593573132
7000000000.0,-5.223258843803782
