Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-14.769635091364366
2263157894.736842,-17.758045127095663
2526315789.4736843,-19.266277026767625
2789473684.2105265,-19.431577222337168
3052631578.9473686,-18.976240349193084
3315789473.684211,-17.446516144890392
3578947368.4210525,-15.592383984501302
3842105263.1578946,-13.350290831804
4105263157.894737,-10.26537875498971
4368421052.631578,-8.75605390251096
4631578947.368422,-6.659280619296271
4894736842.105263,-6.027228185854988
5157894736.842105,-5.943950647772291
5421052631.578947,-5.131998644516588
5684210526.315789,-4.759576383483836
5947368421.052631,-4.95647957246291
6210526315.789474,-5.407826807133194
6473684210.526316,-4.874417198729346
6736842105.263158,-4.823237083741927
7000000000.0,-4.588355652833726
