Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.27701863355286
2263157894.736842,-4.9488474301798595
2526315789.4736843,-4.836623611117959
2789473684.2105265,-4.43176880267943
3052631578.9473686,-4.587878032233513
3315789473.684211,-4.71052175771337
3578947368.4210525,-5.189586175645023
3842105263.1578946,-5.509474245792718
4105263157.894737,-4.812901417234634
4368421052.631578,-5.272076393631305
4631578947.368422,-4.749477636390219
4894736842.105263,-5.91986999524484
5157894736.842105,-9.374085874863276
5421052631.578947,-14.555291710349163
5684210526.315789,-19.204814025187833
5947368421.052631,-18.4877879941936
6210526315.789474,-13.24767650305363
6473684210.526316,-7.690107433129161
6736842105.263158,-5.450215533969039
7000000000.0,-4.674802918422934
