Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.78726909142501
2263157894.736842,-5.285429499244549
2526315789.4736843,-3.6727696941958827
2789473684.2105265,-5.804272476487923
3052631578.9473686,-4.669142169167946
3315789473.684211,-5.071712971989498
3578947368.4210525,-5.177253194235713
3842105263.1578946,-4.46682059394008
4105263157.894737,-5.9089610003037745
4368421052.631578,-5.492338105044326
4631578947.368422,-5.057080072228648
4894736842.105263,-4.129363081657921
5157894736.842105,-4.95547656442311
5421052631.578947,-4.552155881495556
5684210526.315789,-5.931652982513768
5947368421.052631,-5.619443772603816
6210526315.789474,-4.5152352632878845
6473684210.526316,-5.314089870021683
6736842105.263158,-5.031497730124438
7000000000.0,-4.634565447688548
