Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.557410092454658
2263157894.736842,-4.902280053777095
2526315789.4736843,-4.379659026584342
2789473684.2105265,-5.78380726994269
3052631578.9473686,-5.318622258390228
3315789473.684211,-5.377519890264509
3578947368.4210525,-4.956339597957982
3842105263.1578946,-4.914863821141681
4105263157.894737,-5.628278807834874
4368421052.631578,-4.866212481221986
4631578947.368422,-4.658146351272766
4894736842.105263,-4.07771581869143
5157894736.842105,-5.043347126372367
5421052631.578947,-4.426286639271771
5684210526.315789,-5.126790528219515
5947368421.052631,-5.657751581849613
6210526315.789474,-4.72557166946665
6473684210.526316,-5.6908724938189
6736842105.263158,-4.71416768370373
7000000000.0,-4.7576528420258875
