Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.3394283709133585
2263157894.736842,-4.802225456868367
2526315789.4736843,-5.190811665160114
2789473684.2105265,-5.546952584502356
3052631578.9473686,-4.645010784768205
3315789473.684211,-5.1717271691405795
3578947368.4210525,-4.97679397719126
3842105263.1578946,-4.6387492815522045
4105263157.894737,-3.7349350439079534
4368421052.631578,-5.240175963286051
4631578947.368422,-4.735039975605364
4894736842.105263,-4.555783072189863
5157894736.842105,-4.8665102296182425
5421052631.578947,-4.427936564700834
5684210526.315789,-4.1528232406476615
5947368421.052631,-4.494420933080413
6210526315.789474,-4.749854306982377
6473684210.526316,-4.294047106383059
6736842105.263158,-4.7745058510315115
7000000000.0,-4.718433818130581
