Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.757963371511264
2263157894.736842,-5.2387067100763876
2526315789.4736843,-4.665330229233836
2789473684.2105265,-5.693647272351708
3052631578.9473686,-4.167055785170838
3315789473.684211,-5.095465758601075
3578947368.4210525,-4.732825569862453
3842105263.1578946,-4.611724107164692
4105263157.894737,-4.877624816043846
4368421052.631578,-4.910094789034528
4631578947.368422,-5.670792344704457
4894736842.105263,-5.090990623337629
5157894736.842105,-5.2710804337662855
5421052631.578947,-4.999010182583516
5684210526.315789,-6.34990456489608
5947368421.052631,-5.778613033552275
6210526315.789474,-5.1463963138258135
6473684210.526316,-4.870468310275303
6736842105.263158,-5.10054441075274
7000000000.0,-5.550749525530917
