Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.440275626745345
2263157894.736842,-18.212470353609966
2526315789.4736843,-18.983666850528312
2789473684.2105265,-20.464083799646367
3052631578.9473686,-19.956196155703484
3315789473.684211,-17.479265394813492
3578947368.4210525,-14.74327338225939
3842105263.1578946,-12.20294519039818
4105263157.894737,-9.775663103827641
4368421052.631578,-8.29859412683791
4631578947.368422,-7.2473759301304055
4894736842.105263,-5.843887793389506
5157894736.842105,-5.281578808435281
5421052631.578947,-5.232807345008831
5684210526.315789,-5.463478104093402
5947368421.052631,-5.134029108930373
6210526315.789474,-4.883788205451441
6473684210.526316,-5.583295755041986
6736842105.263158,-5.183600329216892
7000000000.0,-5.6089872481553495
