Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.646429070839389
2263157894.736842,-17.13440206423105
2526315789.4736843,-19.333240142835944
2789473684.2105265,-19.296529438999364
3052631578.9473686,-19.30725931058043
3315789473.684211,-18.24530076086134
3578947368.4210525,-14.972573724233222
3842105263.1578946,-13.160548745791392
4105263157.894737,-10.246615464716017
4368421052.631578,-7.915008307912871
4631578947.368422,-6.705858335233099
4894736842.105263,-5.958602610387508
5157894736.842105,-6.0986056682189
5421052631.578947,-5.2849607404835
5684210526.315789,-5.486350468639431
5947368421.052631,-4.374743247749767
6210526315.789474,-4.733816408499175
6473684210.526316,-4.575101205876438
6736842105.263158,-4.447939811144137
7000000000.0,-4.787318334175071
