Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.75667771587935
2263157894.736842,-5.065404857698261
2526315789.4736843,-4.75864490058441
2789473684.2105265,-4.221764119229419
3052631578.9473686,-5.335827124228639
3315789473.684211,-5.297229324136532
3578947368.4210525,-4.588140566474391
3842105263.1578946,-4.981929502203206
4105263157.894737,-4.208010685750925
4368421052.631578,-5.518551611667921
4631578947.368422,-5.4179118045402745
4894736842.105263,-4.986417836426606
5157894736.842105,-5.245821513399898
5421052631.578947,-4.069815471939431
5684210526.315789,-4.961503047006876
5947368421.052631,-5.567423661486773
6210526315.789474,-4.708449499535688
6473684210.526316,-5.684863252137897
6736842105.263158,-4.641348040911044
7000000000.0,-5.203681194144508
