Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.775249259612026
2263157894.736842,-5.181405270555603
2526315789.4736843,-6.183639942659958
2789473684.2105265,-4.478218082599056
3052631578.9473686,-5.6050931429414845
3315789473.684211,-5.084889091886197
3578947368.4210525,-4.681113713347585
3842105263.1578946,-4.92777617916359
4105263157.894737,-5.429882467269456
4368421052.631578,-4.431381410929493
4631578947.368422,-5.067295213421548
4894736842.105263,-5.260698468832301
5157894736.842105,-5.431990554355267
5421052631.578947,-5.7046885875154745
5684210526.315789,-4.490590491691259
5947368421.052631,-5.430690743802504
6210526315.789474,-5.040538412707022
6473684210.526316,-5.789541301547537
6736842105.263158,-5.152904760160051
7000000000.0,-4.112778078976827
