Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.526766250289316
2263157894.736842,-5.181004434569611
2526315789.4736843,-4.59418707922273
2789473684.2105265,-5.625615407449464
3052631578.9473686,-5.637948573159095
3315789473.684211,-4.463110282607083
3578947368.4210525,-4.4099172013936
3842105263.1578946,-4.128277393431978
4105263157.894737,-5.088436017759576
4368421052.631578,-4.526122679477323
4631578947.368422,-4.7321854504077265
4894736842.105263,-4.881097866024384
5157894736.842105,-4.594356941587952
5421052631.578947,-4.8489065354276715
5684210526.315789,-4.100973996308135
5947368421.052631,-4.647155197434199
6210526315.789474,-5.241236657822029
6473684210.526316,-4.590458099694312
6736842105.263158,-4.531193071491082
7000000000.0,-5.904607565119999
