Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.825108722453171
2263157894.736842,-5.1273207980842805
2526315789.4736843,-4.6645981322105845
2789473684.2105265,-4.638550178788895
3052631578.9473686,-5.4043698263164766
3315789473.684211,-4.744889512839636
3578947368.4210525,-4.802467297638255
3842105263.1578946,-4.944784720064157
4105263157.894737,-4.888205068032389
4368421052.631578,-5.672310314710314
4631578947.368422,-5.068161622675595
4894736842.105263,-5.1091548922087435
5157894736.842105,-4.198907493104974
5421052631.578947,-4.95372404242711
5684210526.315789,-6.225512975475729
5947368421.052631,-4.405110892087409
6210526315.789474,-4.156283302578951
6473684210.526316,-5.017717247943593
6736842105.263158,-4.134037961944188
7000000000.0,-4.544493968608251
