Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.07148579976615
2263157894.736842,-19.29725328267069
2526315789.4736843,-19.58216535594595
2789473684.2105265,-19.274864458459003
3052631578.9473686,-20.01034305300535
3315789473.684211,-17.709389101254978
3578947368.4210525,-14.652867882535801
3842105263.1578946,-13.42495643334947
4105263157.894737,-10.048152387458316
4368421052.631578,-7.550625193830976
4631578947.368422,-6.8494159349214065
4894736842.105263,-5.318281598507999
5157894736.842105,-5.64037953822685
5421052631.578947,-5.476318517039877
5684210526.315789,-4.881089233591828
5947368421.052631,-5.765134711228709
6210526315.789474,-4.4616497878672785
6473684210.526316,-4.983304429356462
6736842105.263158,-5.648319217427405
7000000000.0,-4.434467002468991
