Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.137072640532386
2263157894.736842,-4.486522654557268
2526315789.4736843,-4.445797094323422
2789473684.2105265,-5.4855957736275
3052631578.9473686,-5.301948144502631
3315789473.684211,-5.379663011015382
3578947368.4210525,-5.8534326266129675
3842105263.1578946,-5.207280988583909
4105263157.894737,-4.567500016874893
4368421052.631578,-4.904605335954011
4631578947.368422,-5.109515786576036
4894736842.105263,-5.771831913898616
5157894736.842105,-4.078623285039114
5421052631.578947,-5.7383263976043155
5684210526.315789,-4.433771091015793
5947368421.052631,-5.408579044918014
6210526315.789474,-4.918686064895278
6473684210.526316,-4.949088252775648
6736842105.263158,-5.42362502297745
7000000000.0,-5.342367438179299
