Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-16.00374503045541
2263157894.736842,-18.546605436159137
2526315789.4736843,-19.664324428238466
2789473684.2105265,-20.212976060543145
3052631578.9473686,-19.847205982783173
3315789473.684211,-17.881697277365074
3578947368.4210525,-15.526039199088553
3842105263.1578946,-13.870490442144618
4105263157.894737,-11.049976602613292
4368421052.631578,-8.604934308940374
4631578947.368422,-7.60023778273913
4894736842.105263,-6.318934208728729
5157894736.842105,-4.896959065696443
5421052631.578947,-5.788583719988755
5684210526.315789,-5.14613590659382
5947368421.052631,-4.807731356224967
6210526315.789474,-5.218381018318779
6473684210.526316,-5.069242511705016
6736842105.263158,-4.759657872671208
7000000000.0,-5.399584003929418
