Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.939800307524008
2263157894.736842,-4.6377667204913795
2526315789.4736843,-5.656062156267407
2789473684.2105265,-5.254276410859501
3052631578.9473686,-4.700424081094907
3315789473.684211,-5.107798200713454
3578947368.4210525,-5.152142063230265
3842105263.1578946,-5.120772963181933
4105263157.894737,-5.3104576692545455
4368421052.631578,-5.296161540598595
4631578947.368422,-4.670463974413404
4894736842.105263,-4.629880401278212
5157894736.842105,-4.960618728545202
5421052631.578947,-4.2955719089534625
5684210526.315789,-5.41686781745026
5947368421.052631,-4.700813270655115
6210526315.789474,-4.563857728171079
6473684210.526316,-4.075827958210981
6736842105.263158,-4.743534201433192
7000000000.0,-5.074016978249538
