Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.775998342542902
2263157894.736842,-18.33748478759867
2526315789.4736843,-18.898613452166654
2789473684.2105265,-20.564484501889364
3052631578.9473686,-20.278064971124806
3315789473.684211,-17.408516282935114
3578947368.4210525,-14.982173086440726
3842105263.1578946,-13.315409155428258
4105263157.894737,-10.736128366802726
4368421052.631578,-7.110210508825269
4631578947.368422,-7.581617228706411
4894736842.105263,-6.385749971569296
5157894736.842105,-4.981925365873456
5421052631.578947,-4.8931582311311965
5684210526.315789,-4.30826469432006
5947368421.052631,-4.636361716162584
6210526315.789474,-5.220381761036012
6473684210.526316,-4.946361674241896
6736842105.263158,-5.27680176997665
7000000000.0,-4.597620875251921
