Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.512282646171279
2263157894.736842,-5.737418460044661
2526315789.4736843,-5.234671051649729
2789473684.2105265,-5.213167640940562
3052631578.9473686,-5.458843665706137
3315789473.684211,-5.145702877252264
3578947368.4210525,-5.123240506447615
3842105263.1578946,-6.029636385760551
4105263157.894737,-5.596513399526948
4368421052.631578,-5.10486016120384
4631578947.368422,-5.527339730693322
4894736842.105263,-5.186078798848353
5157894736.842105,-4.325655593755716
5421052631.578947,-5.5227224440515865
5684210526.315789,-5.031969285707753
5947368421.052631,-4.762491725621375
6210526315.789474,-5.2018387601591245
6473684210.526316,-5.063660813139118
6736842105.263158,-4.757919936568626
7000000000.0,-5.3990846631074705
