Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.284535958258771
2263157894.736842,-5.528297811484191
2526315789.4736843,-4.468960075577918
2789473684.2105265,-5.564676082286783
3052631578.9473686,-5.8897026540477695
3315789473.684211,-4.672521882822304
3578947368.4210525,-4.579374393799789
3842105263.1578946,-5.47455509904419
4105263157.894737,-5.282665163716382
4368421052.631578,-3.6101363610887356
4631578947.368422,-5.508719176660603
4894736842.105263,-5.25289456168892
5157894736.842105,-4.4106218939327295
5421052631.578947,-4.627296955194028
5684210526.315789,-4.194098073433993
5947368421.052631,-4.591122085558992
6210526315.789474,-5.203839502876357
6473684210.526316,-4.940779975675998
6736842105.263158,-5.275063833874068
7000000000.0,-4.597121534429974
