Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.135461539909219
2263157894.736842,-17.639896824492357
2526315789.4736843,-18.098801587434945
2789473684.2105265,-20.497202766894986
3052631578.9473686,-20.185800493670506
3315789473.684211,-17.21475810645147
3578947368.4210525,-14.914907495860026
3842105263.1578946,-13.114511389506836
4105263157.894737,-10.494169362335487
4368421052.631578,-8.672030427841909
4631578947.368422,-6.80126185359648
4894736842.105263,-6.346770877549655
5157894736.842105,-5.216152914598735
5421052631.578947,-4.910494621720104
5684210526.315789,-5.19505488215533
5947368421.052631,-5.245509909935225
6210526315.789474,-4.462081646753168
6473684210.526316,-4.770773485429485
6736842105.263158,-4.158750225962732
7000000000.0,-5.210999961941029
