Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.905591570785818
2263157894.736842,-17.687944846356
2526315789.4736843,-19.461578957220052
2789473684.2105265,-20.04699027266488
3052631578.9473686,-19.2266362420612
3315789473.684211,-17.403016983499526
3578947368.4210525,-15.30805267549804
3842105263.1578946,-12.75167184198441
4105263157.894737,-11.022124687311033
4368421052.631578,-8.211045575292626
4631578947.368422,-7.235654290329301
4894736842.105263,-5.637869795741553
5157894736.842105,-4.914711518522225
5421052631.578947,-6.082175610207172
5684210526.315789,-4.4492778316503
5947368421.052631,-5.385729711315262
6210526315.789474,-5.535338789937964
6473684210.526316,-5.121774437965737
6736842105.263158,-4.852146951805537
7000000000.0,-4.49604406394713
