Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.976793611723404
2263157894.736842,-4.74092896511903
2526315789.4736843,-5.055049739549668
2789473684.2105265,-5.044516881467399
3052631578.9473686,-4.748748175599909
3315789473.684211,-4.744713068870957
3578947368.4210525,-4.827462163394764
3842105263.1578946,-5.710418615539621
4105263157.894737,-5.28488634820183
4368421052.631578,-5.153287749308674
4631578947.368422,-4.630223012622897
4894736842.105263,-4.977272388201649
5157894736.842105,-5.196935028248733
5421052631.578947,-4.811202636520823
5684210526.315789,-4.837052759817405
5947368421.052631,-5.570780692636886
6210526315.789474,-4.729269899593325
6473684210.526316,-5.21235430459685
6736842105.263158,-4.893671840663939
7000000000.0,-4.769262856551525
