Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-14.558848968152134
2263157894.736842,-17.378093371997263
2526315789.4736843,-19.07441411447093
2789473684.2105265,-19.992622402881782
3052631578.9473686,-18.727561019979152
3315789473.684211,-17.33247673107119
3578947368.4210525,-15.382644019654272
3842105263.1578946,-12.67947582623295
4105263157.894737,-11.194986852544718
4368421052.631578,-8.078682054583467
4631578947.368422,-6.804960089848011
4894736842.105263,-7.157003707384909
5157894736.842105,-4.862309277959098
5421052631.578947,-4.915911653542188
5684210526.315789,-4.77966799423761
5947368421.052631,-5.072883025696503
6210526315.789474,-5.410610099666876
6473684210.526316,-4.321212739959465
6736842105.263158,-4.734433214142343
7000000000.0,-4.723312052707195
