Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.734618946556857
2263157894.736842,-5.209829770461135
2526315789.4736843,-5.020284414333112
2789473684.2105265,-4.803601277635181
3052631578.9473686,-5.517323541047407
3315789473.684211,-4.406330844914423
3578947368.4210525,-4.8912559871409425
3842105263.1578946,-5.2663254980953536
4105263157.894737,-5.764214491937157
4368421052.631578,-5.334696773114181
4631578947.368422,-4.649817200110378
4894736842.105263,-4.728131723934605
5157894736.842105,-4.557602425844033
5421052631.578947,-5.2584931716751395
5684210526.315789,-4.62152558074424
5947368421.052631,-5.098253851570761
6210526315.789474,-4.276889776693766
6473684210.526316,-4.9514865949398255
6736842105.263158,-5.497405499957263
7000000000.0,-5.156294293874159
