Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.468255996007535
2263157894.736842,-17.550115941233507
2526315789.4736843,-19.484703116138405
2789473684.2105265,-20.044325301069982
3052631578.9473686,-19.137110492676946
3315789473.684211,-17.48070746898377
3578947368.4210525,-15.2302608560357
3842105263.1578946,-13.551272671923687
4105263157.894737,-10.738349551288174
4368421052.631578,-8.653361897045208
4631578947.368422,-6.703121064668705
4894736842.105263,-6.110127798082025
5157894736.842105,-5.76823850018946
5421052631.578947,-5.077063912457991
5684210526.315789,-4.951219380703472
5947368421.052631,-5.616020323240478
6210526315.789474,-4.7458121577529795
6473684210.526316,-5.217936003162748
6736842105.263158,-4.89540977676652
7000000000.0,-4.769762197373472
