Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.721549060977287
2263157894.736842,-18.120627037991845
2526315789.4736843,-19.362008402434896
2789473684.2105265,-19.577857122755052
3052631578.9473686,-19.462611661154078
3315789473.684211,-17.60475250918468
3578947368.4210525,-15.136964673615601
3842105263.1578946,-12.495950406449191
4105263157.894737,-10.899412536601881
4368421052.631578,-8.26566393557451
4631578947.368422,-7.081791866270881
4894736842.105263,-6.433570259023716
5157894736.842105,-5.910120984128722
5421052631.578947,-5.3794689421952615
5684210526.315789,-5.610944323053712
5947368421.052631,-5.774691074042804
6210526315.789474,-4.984663566450987
6473684210.526316,-4.618322786360116
6736842105.263158,-5.122303790342332
7000000000.0,-4.630475892420338
