Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.067386583868002
2263157894.736842,-4.568906395882787
2526315789.4736843,-4.644760737882193
2789473684.2105265,-4.9928139832792
3052631578.9473686,-4.339198702902117
3315789473.684211,-4.596482330958378
3578947368.4210525,-4.979845327013335
3842105263.1578946,-4.838621769848882
4105263157.894737,-5.741523649458373
4368421052.631578,-4.578607906846933
4631578947.368422,-4.732062037802203
4894736842.105263,-6.024148297504533
5157894736.842105,-4.291005806018371
5421052631.578947,-4.6500503776050195
5684210526.315789,-4.665501373351543
5947368421.052631,-5.027643395092911
6210526315.789474,-5.394067841507221
6473684210.526316,-4.3156310413935675
6736842105.263158,-4.7326952780397615
7000000000.0,-4.722812711885248
