Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.645149179804577
2263157894.736842,-3.8386085565909616
2526315789.4736843,-5.829887819674007
2789473684.2105265,-5.0436496100976145
3052631578.9473686,-4.383535187576244
3315789473.684211,-4.4655942394273165
3578947368.4210525,-4.296711930393469
3842105263.1578946,-4.897980998948568
4105263157.894737,-4.394050287160532
4368421052.631578,-3.7941736371131434
4631578947.368422,-4.531415201786341
4894736842.105263,-4.333701707339298
5157894736.842105,-5.319718533695721
5421052631.578947,-5.975193270708078
5684210526.315789,-5.126216035507128
5947368421.052631,-5.030154487694728
6210526315.789474,-4.417069209801529
6473684210.526316,-5.185925602861314
6736842105.263158,-4.943236894980887
7000000000.0,-4.9679696584712785
