Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.207288451021427
2263157894.736842,-17.11789362591681
2526315789.4736843,-19.310226536635337
2789473684.2105265,-20.759491537083242
3052631578.9473686,-19.32828060542678
3315789473.684211,-17.68147397420944
3578947368.4210525,-15.696801057884846
3842105263.1578946,-13.659777964078812
4105263157.894737,-10.488573370929137
4368421052.631578,-9.458189510436519
4631578947.368422,-7.15688553967458
4894736842.105263,-6.140910951283302
5157894736.842105,-4.351950556305914
5421052631.578947,-4.718412181635373
5684210526.315789,-4.668947263818724
5947368421.052631,-4.794003547104511
6210526315.789474,-5.133259888274646
6473684210.526316,-5.147150200045637
6736842105.263158,-5.274659424847488
7000000000.0,-4.592455820384562
