Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.370501704475625
2263157894.736842,-17.470108536876374
2526315789.4736843,-19.7224181063257
2789473684.2105265,-20.454144981221074
3052631578.9473686,-20.38428142263775
3315789473.684211,-17.25018290911971
3578947368.4210525,-15.394470042352914
3842105263.1578946,-12.737988383910654
4105263157.894737,-10.84526064133915
4368421052.631578,-7.886825133093554
4631578947.368422,-6.6012977632068
4894736842.105263,-6.1937673506242215
5157894736.842105,-5.849235200891868
5421052631.578947,-5.444206967966458
5684210526.315789,-5.513479392098391
5947368421.052631,-5.031957555983322
6210526315.789474,-5.324626118009928
6473684210.526316,-4.712810438294877
6736842105.263158,-5.181472223431953
7000000000.0,-5.177477872791626
