Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.353302128641358
2263157894.736842,-5.55527635579128
2526315789.4736843,-5.464362884633948
2789473684.2105265,-5.461042942120521
3052631578.9473686,-5.0494884374236
3315789473.684211,-4.807252492720034
3578947368.4210525,-4.783416631540028
3842105263.1578946,-4.856637881595449
4105263157.894737,-5.461979524609565
4368421052.631578,-5.1722216082009025
4631578947.368422,-4.901868676756998
4894736842.105263,-5.136438564232184
5157894736.842105,-5.5875735692667385
5421052631.578947,-4.060877133403152
5684210526.315789,-5.227019672935119
5947368421.052631,-5.684667147872758
6210526315.789474,-5.424965907851347
6473684210.526316,-5.546299096578642
6736842105.263158,-6.087477251034836
7000000000.0,-4.896077573486603
