Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.504651929682154
2263157894.736842,-4.1988464228609645
2526315789.4736843,-4.039139452808583
2789473684.2105265,-5.008110571770333
3052631578.9473686,-5.46832973074887
3315789473.684211,-5.29543951044069
3578947368.4210525,-5.0473733450549085
3842105263.1578946,-5.544660475442781
4105263157.894737,-3.9173742925276214
4368421052.631578,-4.873843626966834
4631578947.368422,-4.492076392904522
4894736842.105263,-4.7249856205926655
5157894736.842105,-4.448890865250803
5421052631.578947,-4.979358122390267
5684210526.315789,-5.343975670023289
5947368421.052631,-4.3411277568422015
6210526315.789474,-5.25948982686904
6473684210.526316,-5.4335319270387235
6736842105.263158,-4.464678193005601
7000000000.0,-5.4794498244964815
