Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.502817138394379
2263157894.736842,-5.014159570376917
2526315789.4736843,-4.707153269361046
2789473684.2105265,-5.843541695582973
3052631578.9473686,-5.69858289550606
3315789473.684211,-5.478841859818211
3578947368.4210525,-4.498606746219192
3842105263.1578946,-4.443623346525801
4105263157.894737,-4.839616427600229
4368421052.631578,-4.775793166916982
4631578947.368422,-5.302825499283195
4894736842.105263,-5.5875516686813524
5157894736.842105,-4.761669370226833
5421052631.578947,-4.623273815787309
5684210526.315789,-5.044146455005119
5947368421.052631,-5.989066027486485
6210526315.789474,-4.870539338313494
6473684210.526316,-4.9383758186012
6736842105.263158,-5.38174509356558
7000000000.0,-4.606077932202648
