Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.326793053150777
2263157894.736842,-17.578942207615334
2526315789.4736843,-18.650705020732104
2789473684.2105265,-19.33286605832325
3052631578.9473686,-19.309266809550394
3315789473.684211,-17.553054610375366
3578947368.4210525,-15.99544313752231
3842105263.1578946,-13.03844324233768
4105263157.894737,-10.293442351558305
4368421052.631578,-8.108009293546235
4631578947.368422,-7.477725276704875
4894736842.105263,-6.546641406398535
5157894736.842105,-5.313771357862883
5421052631.578947,-4.898353375752025
5684210526.315789,-5.660155484965114
5947368421.052631,-4.880589855150621
6210526315.789474,-4.344214767088358
6473684210.526316,-4.997204634465492
6736842105.263158,-4.55106777345572
7000000000.0,-4.482720102198101
