Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.917586816487109
2263157894.736842,-17.648227272862528
2526315789.4736843,-18.535131985758284
2789473684.2105265,-19.560138821558933
3052631578.9473686,-19.202565906767216
3315789473.684211,-16.992147508372103
3578947368.4210525,-15.038465927775363
3842105263.1578946,-11.80022969252179
4105263157.894737,-11.122097241512794
4368421052.631578,-8.437398371781896
4631578947.368422,-6.800787436821657
4894736842.105263,-6.469769147734423
5157894736.842105,-5.561481109673813
5421052631.578947,-5.794903834659893
5684210526.315789,-5.788199730849615
5947368421.052631,-4.4353266204030515
6210526315.789474,-6.216637690726293
6473684210.526316,-5.78387157238165
6736842105.263158,-5.209150300503554
7000000000.0,-5.503034286129933
