Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.426124432202978
2263157894.736842,-4.839040296748053
2526315789.4736843,-4.105478609169547
2789473684.2105265,-4.560330401956351
3052631578.9473686,-4.8142035896901785
3315789473.684211,-4.2561531082592925
3578947368.4210525,-4.635667235134426
3842105263.1578946,-3.9593756361377235
4105263157.894737,-5.6686340384264495
4368421052.631578,-4.937324224045362
4631578947.368422,-4.727889384775849
4894736842.105263,-5.336913737854047
5157894736.842105,-4.990177637733086
5421052631.578947,-5.5290425587227245
5684210526.315789,-5.674033109963548
5947368421.052631,-4.390086989799459
6210526315.789474,-6.200095432566638
6473684210.526316,-5.778289873815752
6736842105.263158,-5.207412364400972
7000000000.0,-5.5025349453079855
