Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.288709488682666
2263157894.736842,-5.3110603791110655
2526315789.4736843,-4.959872641429164
2789473684.2105265,-4.373763825200003
3052631578.9473686,-5.161948310736862
3315789473.684211,-5.550821878380327
3578947368.4210525,-5.399367553060888
3842105263.1578946,-4.111274443944278
4105263157.894737,-5.175204930788634
4368421052.631578,-5.591812532092459
4631578947.368422,-5.151144643948749
4894736842.105263,-4.850863411698582
5157894736.842105,-4.856448964274949
5421052631.578947,-4.068484744623617
5684210526.315789,-5.095698648968402
5947368421.052631,-5.772822867006535
6210526315.789474,-4.245569979833356
6473684210.526316,-4.85649524836332
6736842105.263158,-4.8499990475320045
7000000000.0,-5.339515247146321
