Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.715826066737295
2263157894.736842,-4.308706649802334
2526315789.4736843,-4.880573160046601
2789473684.2105265,-5.75968311748066
3052631578.9473686,-4.939918288349742
3315789473.684211,-4.945479574096627
3578947368.4210525,-5.29400236524391
3842105263.1578946,-5.818923907694744
4105263157.894737,-5.035110167842794
4368421052.631578,-5.958115362699986
4631578947.368422,-5.083987487628772
4894736842.105263,-5.008055541402926
5157894736.842105,-3.780647084365187
5421052631.578947,-4.452550905698205
5684210526.315789,-4.554780642932657
5947368421.052631,-4.74876391650092
6210526315.789474,-5.116717630114991
6473684210.526316,-5.141568501479739
6736842105.263158,-5.272921488744906
7000000000.0,-4.591956479562615
