Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.54780702628869
2263157894.736842,-4.610966804721515
2526315789.4736843,-5.190805191821696
2789473684.2105265,-4.852064451909133
3052631578.9473686,-4.831778881689362
3315789473.684211,-5.973393326583983
3578947368.4210525,-4.749312207526161
3842105263.1578946,-5.483092092418531
4105263157.894737,-5.622085089360661
4368421052.631578,-4.441935407535486
4631578947.368422,-5.806412444635594
4894736842.105263,-5.794425032746793
5157894736.842105,-5.420691701566595
5421052631.578947,-4.296996611660909
5684210526.315789,-4.5377848545495745
5947368421.052631,-5.083310296481537
6210526315.789474,-4.096485450184793
6473684210.526316,-5.379988375849664
6736842105.263158,-5.897654162918103
7000000000.0,-4.665163570944605
