Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.690872345247444
2263157894.736842,-5.366718013767856
2526315789.4736843,-4.794991016743325
2789473684.2105265,-5.265098363592026
3052631578.9473686,-4.351304633774404
3315789473.684211,-4.996310422387563
3578947368.4210525,-5.908596757761202
3842105263.1578946,-4.72469353244027
4105263157.894737,-5.300374766955301
4368421052.631578,-4.661779894534989
4631578947.368422,-4.71980303003145
4894736842.105263,-5.2352149419804865
5157894736.842105,-4.645300706077693
5421052631.578947,-4.994092604961759
5684210526.315789,-4.600183708882497
5947368421.052631,-4.875619333958531
6210526315.789474,-5.913162139701905
6473684210.526316,-4.995328595543999
6736842105.263158,-5.22344115251167
7000000000.0,-5.135806528510341
