Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.042782240829754
2263157894.736842,-5.505896051323813
2526315789.4736843,-4.546827165004915
2789473684.2105265,-5.222635548561516
3052631578.9473686,-4.297860577038977
3315789473.684211,-5.7322240493431735
3578947368.4210525,-4.768635102916527
3842105263.1578946,-5.009619113039954
4105263157.894737,-4.639106664141607
4368421052.631578,-5.416259344854499
4631578947.368422,-4.8639219099776225
4894736842.105263,-4.241432783254396
5157894736.842105,-5.558406733773353
5421052631.578947,-5.209129603098291
5684210526.315789,-4.4793254054792
5947368421.052631,-5.281670737575232
6210526315.789474,-4.239157265923639
6473684210.526316,-5.252637719512709
6736842105.263158,-5.1724037742496485
7000000000.0,-4.502279415761814
