Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.093927787662775
2263157894.736842,-5.239114138814158
2526315789.4736843,-5.0546454989714755
2789473684.2105265,-4.738459201036554
3052631578.9473686,-5.156644364800765
3315789473.684211,-4.996598249382639
3578947368.4210525,-4.121511433001506
3842105263.1578946,-4.399572991135984
4105263157.894737,-4.6755449899958625
4368421052.631578,-4.998132347208075
4631578947.368422,-4.9410361702209125
4894736842.105263,-4.205695103675027
5157894736.842105,-4.971708902590556
5421052631.578947,-4.681870453021522
5684210526.315789,-4.6783446620363645
5947368421.052631,-5.301355238221299
6210526315.789474,-4.332962072958763
6473684210.526316,-5.399184435203152
6736842105.263158,-4.931156901178465
7000000000.0,-6.178745881431524
