Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.643999155625087
2263157894.736842,-4.830709848377882
2526315789.4736843,-3.6691482108462083
2789473684.2105265,-5.497394347292405
3052631578.9473686,-5.79743817659347
3315789473.684211,-4.4787637063386585
3578947368.4210525,-4.512108803219089
3842105263.1578946,-5.273657333122768
4105263157.894737,-5.040706159249144
4368421052.631578,-5.171956280105375
4631578947.368422,-4.728363801550672
4894736842.105263,-5.213915467669279
5157894736.842105,-4.644849442658008
5421052631.578947,-4.644633345782935
5684210526.315789,-5.080888261269263
5947368421.052631,-5.200270279331633
6210526315.789474,-4.445539388593513
6473684210.526316,-4.765191786863587
6736842105.263158,-4.15701228986015
7000000000.0,-5.210500621119082
