Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.486769736623955
2263157894.736842,-5.098660598894425
2526315789.4736843,-4.377497958062328
2789473684.2105265,-4.125588774803316
3052631578.9473686,-5.258036202012502
3315789473.684211,-4.35240635691025
3578947368.4210525,-5.283394981161319
3842105263.1578946,-4.973049458428387
4105263157.894737,-4.46350509084954
4368421052.631578,-5.164253118859145
4631578947.368422,-3.8137151065781056
4894736842.105263,-6.267384841180807
5157894736.842105,-5.149020107577951
5421052631.578947,-5.405301241946333
5684210526.315789,-5.117114127777296
5947368421.052631,-4.963205791831975
6210526315.789474,-5.803496660326008
6473684210.526316,-4.434069438593291
6736842105.263158,-5.617542714154301
7000000000.0,-4.7131786039097365
