Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.996114313966286
2263157894.736842,-17.00803339897544
2526315789.4736843,-18.46879282939732
2789473684.2105265,-20.007918991372915
3052631578.9473686,-19.856692047825906
3315789473.684211,-18.031433910553503
3578947368.4210525,-15.450172037695847
3842105263.1578946,-13.385514531826848
4105263157.894737,-9.370837495613964
4368421052.631578,-8.373917774703367
4631578947.368422,-6.56497444495033
4894736842.105263,-5.8578410304730415
5157894736.842105,-5.02019433719153
5421052631.578947,-5.245219398327436
5684210526.315789,-5.458142290909356
5947368421.052631,-4.386367387445794
6210526315.789474,-5.276032085028695
6473684210.526316,-5.439113625604621
6736842105.263158,-4.4664161291081825
7000000000.0,-5.479949165318429
