Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.287876702309615
2263157894.736842,-4.990405286769329
2526315789.4736843,-5.05612236142798
2789473684.2105265,-5.188055303124748
3052631578.9473686,-4.282255819839321
3315789473.684211,-4.579079864577178
3578947368.4210525,-4.742679379016163
3842105263.1578946,-4.6749769093871985
4105263157.894737,-5.553248079632124
4368421052.631578,-4.531247603159134
4631578947.368422,-5.316449619799254
4894736842.105263,-5.104119858880111
5157894736.842105,-4.385388826437179
5421052631.578947,-5.652028971407148
5684210526.315789,-5.797805366186431
5947368421.052631,-5.527804004451427
6210526315.789474,-4.1050919957563154
6473684210.526316,-5.014906470085323
6736842105.263158,-4.618322529358413
7000000000.0,-5.24991820488518
