Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.779339086593748
2263157894.736842,-17.799592262883806
2526315789.4736843,-19.485775738016716
2789473684.2105265,-20.18786372272733
3052631578.9473686,-18.670618136916357
3315789473.684211,-17.31507426468999
3578947368.4210525,-15.1454780716571
3842105263.1578946,-12.515830965771267
4105263157.894737,-11.006711282718467
4368421052.631578,-8.031321750895668
4631578947.368422,-7.389347671845062
4894736842.105263,-6.236975268760487
5157894736.842105,-4.956692298377906
5421052631.578947,-5.917890247344317
5684210526.315789,-5.911971987072498
5947368421.052631,-5.573043635055019
6210526315.789474,-4.12163425391597
6473684210.526316,-5.020488168651221
6736842105.263158,-4.620060465460995
7000000000.0,-5.250417545707127
