Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-4.948813242461212
2263157894.736842,-5.403283377495491
2526315789.4736843,-4.554013473939574
2789473684.2105265,-5.464275380043784
3052631578.9473686,-5.567833838626449
3315789473.684211,-4.74327099470068
3578947368.4210525,-4.3404746896184525
3842105263.1578946,-4.362091134014114
4105263157.894737,-4.322199900741299
4368421052.631578,-4.798519979101377
4631578947.368422,-5.1744778780845975
4894736842.105263,-4.71103238350913
5157894736.842105,-4.710275336494554
5421052631.578947,-4.966946069071662
5684210526.315789,-5.349311483207335
5947368421.052631,-5.088789478326781
6210526315.789474,-4.867245947291786
6473684210.526316,-5.577714056476088
6736842105.263158,-5.181862393114311
7000000000.0,-5.608487907333403
