Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.222099801742313
2263157894.736842,-18.079156448477978
2526315789.4736843,-19.67601103094665
2789473684.2105265,-20.52960113659271
3052631578.9473686,-20.05136945925136
3315789473.684211,-18.51187143744067
3578947368.4210525,-15.151884669271071
3842105263.1578946,-12.28104592174499
4105263157.894737,-10.232940182935454
4368421052.631578,-8.357331642449509
4631578947.368422,-6.92642470093584
4894736842.105263,-6.19566023519207
5157894736.842105,-5.084851494819577
5421052631.578947,-5.653980349948674
5684210526.315789,-4.578274074418545
5947368421.052631,-5.12365357448241
6210526315.789474,-5.04416764261488
6473684210.526316,-5.618089050511519
6736842105.263158,-4.961776388975972
7000000000.0,-3.7648073366702306
