Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.780171872966799
2263157894.736842,-18.12024735522554
2526315789.4736843,-19.3895260180179
2789473684.2105265,-19.373572244802585
3052631578.9473686,-19.5503106278139
3315789473.684211,-18.286816278493138
3578947368.4210525,-15.802166245701825
3842105263.1578946,-11.952128500328346
4105263157.894737,-10.628668133874978
4368421052.631578,-9.091886679828994
4631578947.368422,-7.224042695994557
4894736842.105263,-5.983718821578958
5157894736.842105,-5.427752436215676
5421052631.578947,-4.334346020560785
5684210526.315789,-5.209865269854469
5947368421.052631,-5.818062497610127
6210526315.789474,-4.262112237993011
6473684210.526316,-4.862076946929218
6736842105.263158,-4.851736983634586
7000000000.0,-5.340014587968268
