Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-6.222756984845269
2263157894.736842,-5.505739432196436
2526315789.4736843,-5.674589334008709
2789473684.2105265,-5.674415895475898
3052631578.9473686,-5.207757304447681
3315789473.684211,-4.449749776863434
3578947368.4210525,-5.37194252279003
3842105263.1578946,-5.018788905421268
4105263157.894737,-5.125522658925714
4368421052.631578,-5.104159322909969
4631578947.368422,-5.19683728913012
4894736842.105263,-4.293071518632644
5157894736.842105,-4.678951370221947
5421052631.578947,-5.102364165986621
5684210526.315789,-5.705666347557435
5947368421.052631,-5.421474563148811
6210526315.789474,-5.211580711742518
6473684210.526316,-5.193413278929297
6736842105.263158,-5.027721173328332
7000000000.0,-4.814320084576478
