Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.534244625113885
2263157894.736842,-18.315083027438288
2526315789.4736843,-18.976480541593652
2789473684.2105265,-20.222443968164097
3052631578.9473686,-18.686222894116014
3315789473.684211,-18.468218449455986
3578947368.4210525,-15.171433795557464
3842105263.1578946,-12.850473169424022
4105263157.894737,-10.092569867227951
4368421052.631578,-8.916333492591033
4631578947.368422,-6.9368199620234305
4894736842.105263,-5.374288193134772
5157894736.842105,-6.12971020571408
5421052631.578947,-5.47499087903546
5684210526.315789,-4.593492026365267
5947368421.052631,-5.326910368178824
6210526315.789474,-4.255699524083294
6473684210.526316,-5.258219418078607
6736842105.263158,-5.17414171035223
7000000000.0,-4.502778756583761
