Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.13661156408871
2263157894.736842,-16.647795532705437
2526315789.4736843,-20.259541196262745
2789473684.2105265,-20.043458029700197
3052631578.9473686,-18.771897504653282
3315789473.684211,-17.20158863954013
3578947368.4210525,-14.699510623034406
3842105263.1578946,-12.738835055332636
4105263157.894737,-9.847513490246875
4368421052.631578,-7.294247784849677
4631578947.368422,-6.604313253832149
4894736842.105263,-5.466557117219674
5157894736.842105,-5.891022005636448
5421052631.578947,-6.2410545466452465
5684210526.315789,-5.240382656393195
5947368421.052631,-5.07539411829832
6210526315.789474,-4.4336114679611835
6473684210.526316,-5.191507301427212
6736842105.263158,-4.944974831083469
7000000000.0,-4.968468999293226
