Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.257112573923045
2263157894.736842,-5.136963505407328
2526315789.4736843,-4.46246026259653
2789473684.2105265,-4.851004379710422
3052631578.9473686,-4.529668804042524
3315789473.684211,-4.831616197979849
3578947368.4210525,-4.741956847434199
3842105263.1578946,-4.9410862385039245
4105263157.894737,-4.7108822374777
4368421052.631578,-5.444406360922857
4631578947.368422,-4.4640811888751895
4894736842.105263,-5.57548371676415
5157894736.842105,-4.921078619161573
5421052631.578947,-4.992470634082846
5684210526.315789,-5.300268325117735
5947368421.052631,-4.828220705126925
6210526315.789474,-6.05535627560846
6473684210.526316,-5.487263005197292
6736842105.263158,-5.050539746504896
7000000000.0,-4.623500022821587
