Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-15.753878544188806
2263157894.736842,-17.89901457816553
2526315789.4736843,-20.14792268221529
2789473684.2105265,-19.68318164558468
3052631578.9473686,-18.71368760568125
3315789473.684211,-17.116926640137024
3578947368.4210525,-15.902933942569259
3842105263.1578946,-12.842858790767815
4105263157.894737,-10.60343469342198
4368421052.631578,-8.686860333010776
4631578947.368422,-6.9436851681772795
4894736842.105263,-6.602988790656559
5157894736.842105,-6.226464421213322
5421052631.578947,-5.617720497887491
5684210526.315789,-5.5949368459102065
5947368421.052631,-4.660329310376254
6210526315.789474,-5.046289527115546
6473684210.526316,-4.582804403992116
6736842105.263158,-4.760023529675713
7000000000.0,-5.223758184625729
