Frequency(Hz),"dB(S(1:1,1:1))"
2000000000.0,-5.288687744135485
2263157894.736842,-4.953978852643032
2526315789.4736843,-6.05588565367224
2789473684.2105265,-5.698522814213045
3052631578.9473686,-5.37826591407155
3315789473.684211,-5.111130844082599
3578947368.4210525,-4.631080190715098
3842105263.1578946,-4.943764880199086
4105263157.894737,-5.213346815014717
4368421052.631578,-5.158727573725753
4631578947.368422,-5.108837514518034
4894736842.105263,-5.155994515557258
5157894736.842105,-5.3970376322473586
5421052631.578947,-5.3652547177496155
5684210526.315789,-5.0320714166334595
5947368421.052631,-5.140131369922413
6210526315.789474,-5.491526687155066
6473684210.526316,-4.9173946391329535
6736842105.263158,-4.860779427020716
7000000000.0,-5.311076251496418
